erreygersE,numberOfHealthy,openmole$experiment,randomMoveRatio,seed,socialInequality
0.036827342861661325,1150567,706,1.0,-7331533605446779469,1.429419028967611
0.036611549700618695,1158102,700,1.0,-3395561074123471702,1.4185401532110393
0.03655777335905609,1151786,681,1.0,8946059011313586772,1.4229177115549598
0.036656937245947624,1151391,663,1.0,369007728939728382,1.4236808929957994
0.0365245974505768,1151135,672,1.0,3693936714713697959,1.421879369300878
0.03671738920852809,1153199,675,1.0,4750891348840552880,1.4247692229189746
0.03660342814997334,1155513,683,1.0,-6747442297641296181,1.422510669368915
0.03690431701174013,1156220,728,0.9,9189709088826253266,1.4241230639168572
0.036463830838908286,1154638,682,1.0,361476521707681994,1.4180388382340037
0.03702596619557299,1152935,812,0.9,5759581805705746165,1.4312255572317498
0.037033362063731985,1155837,736,0.9,583469795219514848,1.4272293845824515
0.03694011511392526,1158321,712,1.0,-197310734737750968,1.4238529621502962
0.03676317921725386,1152695,629,1.0,-4047318021636357836,1.428286636470601
0.03715706069028622,1151210,635,1.0,-1649992981902094407,1.4323704813412097
0.03701654245865613,1156645,653,1.0,-6331466293889835606,1.4227963128740382
0.036256993853014015,1157059,649,1.0,8964127311487135912,1.4130505450631745
0.036693455447509876,1153993,697,1.0,-6510706160376030147,1.4212730691963527
0.03666203505071912,1154984,669,1.0,-5257423414941722188,1.4225608843698447
0.036600707030800775,1152020,677,1.0,3316718339609849162,1.425303181582015
0.036803547737405455,1160458,664,1.0,-5029295662804576060,1.4237012453408935
0.037042289941341754,1154936,670,1.0,1651444987754694117,1.4264014989697973
0.036530473927719194,1151491,668,1.0,-6830780335511853506,1.425619498255004
0.03723023756172946,1156529,673,1.0,1036099704634050349,1.4261833901712142
0.03642426959693251,1150094,702,1.0,7072282526867450466,1.421411697760342
0.0364098733962079,1151985,657,1.0,-5548297968401758322,1.4240542688815852
0.03655995300876339,1157332,636,1.0,5355167898803609906,1.4222762381066263
0.03692154437918048,1157388,639,1.0,6846173380238641984,1.4258347546789722
0.03677916918416064,1154115,690,1.0,-7572669234017549812,1.4259285439398421
0.03710970824010364,1157473,616,1.0,-7306004315439499031,1.4318933940206033
0.035989792238537,1151145,613,1.0,7946736039551192455,1.4151117116920071
0.0368292234776416,1152152,619,1.0,48784270910226492,1.4281053835886401
0.03659937457312953,1154528,751,0.9,-384348052896125060,1.4228454508874964
0.03671042627024331,1151817,729,0.9,-5920149386788893014,1.4256174566136945
0.03676247837612531,1154442,754,0.9,1898145651295224186,1.426709185121553
