index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,3,2,182988,7969.1,0.04354985026340526,0.4369787736060731
1,0,1,1,3,2,182988,8844.7,0.04833486348831617,0.44554685557855445
2,0,2,1,3,2,182988,9273.2,0.05067654709598444,0.4550842954249397
3,1,0,1,3,2,182988,9483.6,0.051826349268804514,0.4649284104466516
4,1,1,1,3,2,182988,9582.0,0.05236408944848843,0.474752279477993
5,1,2,1,3,2,182988,9630.9,0.05263132008656306,0.48527441081976797
6,2,0,1,3,2,182988,9660.2,0.052791439875838855,0.49599046582489204
7,2,1,1,3,2,182988,9680.8,0.05290401556386211,0.5063363715757828
8,2,2,1,3,2,182988,9691.3,0.05296139637571863,0.5159644389524201
9,3,0,1,3,2,182988,9699.9,0.05300839399304872,0.5252684046174454
10,3,1,1,3,2,182988,9708.5,0.053055391610378824,0.533958806385811
11,3,2,1,3,2,182988,9717.7,0.05310566813124358,0.5428441679030693
12,4,0,1,3,2,182988,9728.0,0.053161955975255214,0.5515795201383756
13,4,1,1,3,2,182988,9750.9,0.053287100793494656,0.5596600393135589
14,4,2,1,3,2,182988,9821.8,0.053674557894506744,0.5679248927490452
15,5,0,1,3,2,182988,10082.0,0.05509650906070344,0.5761158209379177
16,5,1,1,3,2,182988,10918.4,0.059667300588016704,0.5837999651016219
17,5,2,1,3,2,182988,12717.9,0.06950127877237851,0.592041920053368
