index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,3,3,185767,45832.4,0.24671981568308685,0.5192774060505753
1,0,1,2,3,3,185767,46627.6,0.25100044679625555,0.5293657952823074
2,0,2,2,3,3,185767,47020.5,0.2531154618419848,0.5410931615938829
3,1,0,2,3,3,185767,47234.4,0.25426690424025794,0.5526537930443325
4,1,1,2,3,3,185767,47359.6,0.25494086678473576,0.5659126992792718
5,1,2,2,3,3,185767,47433.8,0.2553402918709997,0.5799729899811359
6,2,0,2,3,3,185767,47483.7,0.255608907933056,0.5933977439796879
7,2,1,2,3,3,185767,47515.4,0.2557795518041418,0.6076746385386096
8,2,2,2,3,3,185767,47540.5,0.2559146672982823,0.6149924578913689
9,3,0,2,3,3,185767,47558.4,0.2560110245630279,0.6207560770059393
10,3,1,2,3,3,185767,47575.3,0.25610199874035755,0.6279964842482245
11,3,2,2,3,3,185767,47598.8,0.2562285012946325,0.6349676744838829
12,4,0,2,3,3,185767,47619.6,0.2563404695128845,0.640656514233324
13,4,1,2,3,3,185767,47702.2,0.25678511253344244,0.6476873733751607
14,4,2,2,3,3,185767,47934.4,0.25803506543142757,0.6543968678243964
15,5,0,2,3,3,185767,48519.6,0.2611852481872453,0.6599615314142406
16,5,1,2,3,3,185767,49759.0,0.26785704673058186,0.6670590903131733
17,5,2,2,3,3,185767,51683.6,0.2782173367713318,0.6743031843755307
