index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,2,1,1107531,159346.8,0.14387570189908905,0.4928237742068367
1,0,1,2,2,1,1107531,164783.4,0.1487844584034217,0.499773728427588
2,0,2,2,2,1,1107531,167683.2,0.15140271468699296,0.5075665128410128
3,1,0,2,2,1,1107531,169095.5,0.1526778934404545,0.5164582837802634
4,1,1,2,2,1,1107531,169581.3,0.15311652676087623,0.5268845995914146
5,1,2,2,2,1,1107531,169809.6,0.15332266094583358,0.5359966703704983
6,2,0,2,2,1,1107531,169944.6,0.1534445536964654,0.5456014107948968
7,2,1,2,2,1,1107531,170026.5,0.15351850196518202,0.556210803265503
8,2,2,2,2,1,1107531,170071.4,0.15355904259113287,0.5641125146325827
9,3,0,2,2,1,1107531,170096.0,0.15358125415902582,0.5717730765546171
10,3,1,2,2,1,1107531,170119.0,0.1536020210720964,0.5798434942514079
11,3,2,2,2,1,1107531,170140.7,0.1536216142031239,0.5867037265315691
12,4,0,2,2,1,1107531,170177.9,0.15365520242774242,0.5936264595688815
13,4,1,2,2,1,1107531,170286.7,0.15375343895565902,0.6011039353047487
14,4,2,2,2,1,1107531,170591.3,0.15402846511745494,0.607784282305504
15,5,0,2,2,1,1107531,171564.6,0.15490726670404711,0.6145289815602444
16,5,1,2,2,1,1107531,174438.5,0.15750213763768234,0.6218302530576576
17,5,2,2,2,1,1107531,180013.4,0.16253576649321777,0.628555939804742
