index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,3,2,242236,64853.1,0.2677269274591721,0.5360196759275031
1,0,1,2,3,2,242236,65817.8,0.271709407354811,0.5458178535549043
2,0,2,2,3,2,242236,66357.3,0.27393657424990503,0.5574067973473973
3,1,0,2,3,2,242236,66652.6,0.2751556333492957,0.5685131283173095
4,1,1,2,3,2,242236,66789.6,0.27572119750986646,0.5824758184563373
5,1,2,2,3,2,242236,66860.5,0.2760138872834756,0.5950684052517479
6,2,0,2,3,2,242236,66901.0,0.27618107960831584,0.6061419254160471
7,2,1,2,3,2,242236,66932.3,0.2763102924420813,0.6198337167001702
8,2,2,2,3,2,242236,66956.4,0.2764097821958751,0.6271342250069609
9,3,0,2,3,2,242236,66971.7,0.27647294374081477,0.631902204543019
10,3,1,2,3,2,242236,67003.9,0.27660587195957664,0.6395550103623772
11,3,2,2,3,2,242236,67070.9,0.2768824617315345,0.6459311720302402
12,4,0,2,3,2,242236,67140.0,0.27716772073515084,0.6501546824700021
13,4,1,2,3,2,242236,67330.5,0.2779541438927327,0.6575431329068462
14,4,2,2,3,2,242236,67729.8,0.2796025363694909,0.6639227836397972
15,5,0,2,3,2,242236,68399.8,0.2823684340890701,0.6683029918711554
16,5,1,2,3,2,242236,69712.9,0.2877891807988903,0.6759175073030699
17,5,2,2,3,2,242236,71694.6,0.29597004574051755,0.6828486434243546
