index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,2,3,658465,56824.3,0.08629813277850759,0.4756480953743072
1,0,1,1,2,3,658465,65343.2,0.09923564654157777,0.4818040749709144
2,0,2,1,2,3,658465,69648.5,0.10577403506640444,0.49023840861642737
3,1,0,1,2,3,658465,71683.0,0.10886379686088099,0.49919517437963085
4,1,1,1,2,3,658465,72397.8,0.10994935190177155,0.5088208637964711
5,1,2,1,2,3,658465,72681.1,0.11037959496708254,0.5192323974770681
6,2,0,1,2,3,658465,72847.7,0.11063260765568406,0.5293164254267227
7,2,1,1,2,3,658465,72954.1,0.1107941955912615,0.5390533483924
8,2,2,1,2,3,658465,73024.3,0.11090080718033608,0.5479068939029099
9,3,0,1,2,3,658465,73069.6,0.11096960354764489,0.5561587641413925
10,3,1,1,2,3,658465,73108.1,0.11102807286643937,0.5639632434254341
11,3,2,1,2,3,658465,73147.9,0.1110885164739204,0.5721823132891771
12,4,0,1,2,3,658465,73225.7,0.1112066700583934,0.5800242943238777
13,4,1,1,2,3,658465,73439.9,0.11153197208659534,0.5873979285639883
14,4,2,1,2,3,658465,74082.1,0.11250727069775919,0.5951959560273522
15,5,0,1,2,3,658465,76062.4,0.11551471984084197,0.6027298522364914
16,5,1,1,2,3,658465,80795.0,0.12270204187010698,0.6100046655654574
17,5,2,1,2,3,658465,89489.8,0.13590669207930567,0.6182195856330133
