index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,3,3,187662,31243.2,0.16648655561594783,0.42278014967746413
1,0,1,1,3,3,187662,30645.6,0.16330210697956965,0.4436203800663259
2,0,2,1,3,3,187662,30534.5,0.1627100851530944,0.46385056956997606
3,1,0,1,3,3,187662,30693.1,0.16355522162185204,0.4828651380528569
4,1,1,1,3,3,187662,30740.0,0.16380513902654772,0.5010122963098707
5,1,2,1,3,3,187662,30743.3,0.1638227238332747,0.5169845231664295
6,2,0,1,3,3,187662,30743.7,0.16382485532499919,0.5315694265306743
7,2,1,1,3,3,187662,30745.0,0.16383178267310378,0.5460754639914774
8,2,2,1,3,3,187662,30747.0,0.1638424401317262,0.5590211653811351
9,3,0,1,3,3,187662,30747.6,0.16384563736931293,0.5703343552912419
10,3,1,1,3,3,187662,30752.1,0.16386961665121336,0.5807652653750566
11,3,2,1,3,3,187662,30762.1,0.16392290394432543,0.5900921977748104
12,4,0,1,3,3,187662,30783.7,0.16403800449744757,0.5980731324756132
13,4,1,1,3,3,187662,30866.5,0.1644792232844156,0.6065662822926642
14,4,2,1,3,3,187662,31123.2,0.1658471080986028,0.6148938113353004
15,5,0,1,3,3,187662,31836.0,0.16964542635163218,0.6221141393965193
16,5,1,1,3,3,187662,33728.5,0.17973004657309416,0.6302303020930958
17,5,2,1,3,3,187662,37181.1,0.19812801739297245,0.6389544586691711
