index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,2,1,1077670,60211.4,0.05587183460614102,0.415709195624072
1,0,1,1,2,1,1077670,63781.3,0.059184444217617635,0.42770791075866327
2,0,2,1,2,1,1077670,65614.3,0.06088533595627603,0.4400750309384163
3,1,0,1,2,1,1077670,66471.5,0.061680755704436416,0.45299873613794467
4,1,1,1,2,1,1077670,66680.4,0.06187459983111713,0.46477675441703603
5,1,2,1,2,1,1077670,66773.6,0.06196108270620877,0.47675399829346726
6,2,0,1,2,1,1077670,66828.0,0.062011561980940356,0.48917334840342813
7,2,1,1,2,1,1077670,66856.1,0.062037636753366064,0.5003386003771524
8,2,2,1,2,1,1077670,66870.8,0.06205127729267772,0.5109810822780347
9,3,0,1,2,1,1077670,66880.1,0.06205990702162999,0.5216272357341327
10,3,1,1,2,1,1077670,66887.5,0.06206677368767806,0.5308680629420799
11,3,2,1,2,1,1077670,66893.9,0.06207271242588176,0.5400067733503436
12,4,0,1,2,1,1077670,66903.2,0.06208134215483403,0.5493569176263084
13,4,1,1,2,1,1077670,66940.1,0.06211558269228985,0.5575393025342159
14,4,2,1,2,1,1077670,67068.8,0.06223500700585523,0.5658875183055282
15,5,0,1,2,1,1077670,67630.2,0.06275594569766255,0.5744911104609547
16,5,1,1,2,1,1077670,69773.8,0.06474505182477011,0.5821028237696749
17,5,2,1,2,1,1077670,75232.1,0.06980996037748105,0.5900465597381546
