index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,1,1,493871,17258.2,0.03494475277957199,0.415284911946996
1,0,1,1,1,1,493871,20563.1,0.04163658121250286,0.42583648259308865
2,0,2,1,1,1,493871,22155.5,0.04486090497316102,0.4370882110492242
3,1,0,1,1,1,493871,22860.1,0.046287593318903114,0.4493521646889872
4,1,1,1,1,1,493871,23135.6,0.046845431296836625,0.46005898929450667
5,1,2,1,1,1,493871,23278.9,0.047135588038171916,0.4713067968083637
6,2,0,1,1,1,493871,23362.4,0.047304660528761554,0.48348827799345095
7,2,1,1,1,1,493871,23407.8,0.04739658736795642,0.49383973752448423
8,2,2,1,1,1,493871,23429.0,0.04743951355718396,0.5039666978899694
9,3,0,1,1,1,493871,23440.3,0.04746239402597035,0.5146698083480513
10,3,1,1,1,1,493871,23447.4,0.047476770249721086,0.5234429761316177
11,3,2,1,1,1,493871,23454.4,0.04749094399144716,0.5325137859578258
12,4,0,1,1,1,493871,23464.4,0.04751119219391299,0.542333387217542
13,4,1,1,1,1,493871,23487.2,0.04755735809553507,0.5503313004078555
14,4,2,1,1,1,493871,23538.3,0.047660826410135436,0.5586429111261706
15,5,0,1,1,1,493871,23774.9,0.048139898880476886,0.5677156995139774
16,5,1,1,1,1,493871,24612.5,0.04983588831901449,0.5751468624988936
17,5,2,1,1,1,493871,26856.8,0.05438019239841983,0.5830485072188953
