index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,3,1,299094,40865.4,0.13663062448594757,0.44986383231226074
1,0,1,1,3,1,299094,40451.7,0.13524744729081828,0.462217510832973
2,0,2,1,3,1,299094,40467.7,0.13530094217871308,0.47480407451084117
3,1,0,1,3,1,299094,40570.8,0.135645649862585,0.4874665612031325
4,1,1,1,3,1,299094,40583.4,0.13568777708680216,0.5007863124407999
5,1,2,1,3,1,299094,40580.7,0.13567874982446992,0.5136866649578421
6,2,0,1,3,1,299094,40581.2,0.13568042153971663,0.5261949766278589
7,2,1,1,3,1,299094,40581.9,0.13568276194106202,0.5392996967364598
8,2,2,1,3,1,299094,40583.0,0.13568643971460476,0.5499323302856676
9,3,0,1,3,1,299094,40584.3,0.1356907861742462,0.5593203555159619
10,3,1,1,3,1,299094,40586.8,0.1356991447504798,0.5688338988082291
11,3,2,1,3,1,299094,40590.4,0.13571118110025612,0.5771541198112572
12,4,0,1,3,1,299094,40598.0,0.13573659117200612,0.5845894108449081
13,4,1,1,3,1,299094,40634.6,0.13585896072806544,0.5927065439600984
14,4,2,1,3,1,299094,40761.9,0.1362845794298782,0.6004015013255405
15,5,0,1,3,1,299094,41167.6,0.13764100918106015,0.6073190840494516
16,5,1,1,3,1,299094,42461.0,0.14196540218125406,0.6150732661369392
17,5,2,1,3,1,299094,45067.7,0.150680722448461,0.6227477829781328
