index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,2,3,596958,97950.9,0.16408340285246198,0.5319740863496788
1,0,1,2,2,3,596958,103668.9,0.17366196616847418,0.5351452129584462
2,0,2,2,2,3,596958,106761.6,0.1788427326545586,0.5411211211455981
3,1,0,2,2,3,596958,108451.9,0.18167425514022761,0.548235778705762
4,1,1,2,2,3,596958,109163.3,0.1828659637696454,0.5566514149982298
5,1,2,2,2,3,596958,109493.1,0.18341843144743852,0.5634329234276441
6,2,0,2,2,3,596958,109682.6,0.18373587421560644,0.5703783207931477
7,2,1,2,2,3,596958,109809.2,0.18394794943697884,0.5781570065655055
8,2,2,2,2,3,596958,109889.0,0.18408162718315194,0.5856391690380665
9,3,0,2,2,3,596958,109946.9,0.1841786189313151,0.5928115940104149
10,3,1,2,2,3,596958,109995.5,0.18426003169402205,0.5998265028749381
11,3,2,2,2,3,596958,110057.6,0.18436405911303644,0.6064101596709974
12,4,0,2,2,3,596958,110151.4,0.18452118909538023,0.6127091472304793
13,4,1,2,2,3,596958,110387.0,0.18491585672693892,0.6193149024914832
14,4,2,2,2,3,596958,111028.1,0.18598980162758522,0.6259357550854397
15,5,0,2,2,3,596958,112721.4,0.18882634959243363,0.6323189361108132
16,5,1,2,2,3,596958,116232.3,0.194707667876132,0.6391155173005743
17,5,2,2,2,3,596958,121936.0,0.2042622764080555,0.6463160349294454
