index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,1,3,199476,10486.5,0.05257023401311436,0.4398738685008795
1,0,1,1,1,3,199476,11923.9,0.05977611341715294,0.44932503147583835
2,0,2,1,1,3,199476,12645.5,0.06339359120896751,0.45988681402648524
3,1,0,1,1,3,199476,12985.3,0.0650970542822194,0.47069196515756406
4,1,1,1,1,3,199476,13115.0,0.06574725781547655,0.4809731500770728
5,1,2,1,1,3,199476,13180.8,0.06607712205979667,0.4916426342586823
6,2,0,1,1,3,199476,13221.3,0.06628015400348915,0.5023570853207224
7,2,1,1,1,3,199476,13245.0,0.06639896528905732,0.5121489505277578
8,2,2,1,1,3,199476,13259.2,0.06647015179771,0.5220495665909484
9,3,0,1,1,3,199476,13268.9,0.06651877920150795,0.5317789877096246
10,3,1,1,1,3,199476,13276.2,0.06655537508271671,0.5404084848606839
11,3,2,1,1,3,199476,13283.3,0.06659096833704306,0.5494788026756549
12,4,0,1,1,3,199476,13294.2,0.06664561150213559,0.5584563616046856
13,4,1,1,1,3,199476,13317.4,0.06676191622049771,0.5663671650993167
14,4,2,1,1,3,199476,13383.8,0.06709478834546512,0.5747310829866377
15,5,0,1,1,3,199476,13636.7,0.06836261003830035,0.5830796801231192
16,5,1,1,1,3,199476,14346.4,0.0719204315306102,0.5905324978242107
17,5,2,1,1,3,199476,15859.5,0.07950580520964928,0.5987321170573683
