index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,1,2,547970,40867.0,0.0745789003047612,0.477717139866139
1,0,1,2,1,2,547970,47125.2,0.08599959851816705,0.4827491185557301
2,0,2,2,1,2,547970,50295.0,0.09178422176396517,0.4895491462191172
3,1,0,2,1,2,547970,51769.9,0.09447579247039072,0.49738708719342906
4,1,1,2,1,2,547970,52273.1,0.095394090917386,0.5062076891932268
5,1,2,2,1,2,547970,52498.1,0.09580469733744548,0.5144458678923781
6,2,0,2,1,2,547970,52634.8,0.0960541635490994,0.5229753135383564
7,2,1,2,1,2,547970,52714.2,0.09619906199244485,0.5316616831201774
8,2,2,2,1,2,547970,52757.9,0.0962788108838075,0.5399246285360892
9,3,0,2,1,2,547970,52788.9,0.09633538332390461,0.5482247570640698
10,3,1,2,1,2,547970,52812.8,0.09637899885030202,0.5562836083206228
11,3,2,2,1,2,547970,52836.5,0.09642224939321496,0.5639742013129172
12,4,0,2,1,2,547970,52873.8,0.09649031881307371,0.5717608302305526
13,4,1,2,1,2,547970,52969.1,0.09666423344343669,0.5793568581730707
14,4,2,2,1,2,547970,53235.5,0.09715039144478713,0.5867485855020107
15,5,0,2,1,2,547970,53972.0,0.09849444312644852,0.5942661240745271
16,5,1,2,1,2,547970,55799.8,0.10183002719126959,0.6016647067134491
17,5,2,2,1,2,547970,59357.5,0.10832253590525029,0.6091134226653131
