index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,2,2,813463,129447.2,0.15913102378350336,0.5077818313951892
1,0,1,2,2,2,813463,134275.7,0.16506675779967864,0.514567048776817
2,0,2,2,2,2,813463,136722.3,0.1680743930578281,0.5226209405056603
3,1,0,2,2,2,813463,137912.6,0.16953764338390315,0.5313470597898948
4,1,1,2,2,2,813463,138378.5,0.1701103799435254,0.541638854897811
5,1,2,2,2,2,813463,138604.6,0.17038832743468357,0.5500587013058851
6,2,0,2,2,2,813463,138737.2,0.17055133423400942,0.5585483793579079
7,2,1,2,2,2,813463,138821.2,0.17065459645982667,0.5682671582749468
8,2,2,2,2,2,813463,138873.4,0.17071876655729887,0.5755008752926252
9,3,0,2,2,2,813463,138906.9,0.17075994851640455,0.5822303923454695
10,3,1,2,2,2,813463,138934.4,0.1707937546022376,0.5897857720881248
11,3,2,2,2,2,813463,138965.5,0.17083198621203424,0.5966620419724715
12,4,0,2,2,2,813463,139015.6,0.17089357475386097,0.6032359095974985
13,4,1,2,2,2,813463,139159.2,0.17107010398752,0.6105508144487863
14,4,2,2,2,2,813463,139570.2,0.17157535130669743,0.617266572347865
15,5,0,2,2,2,813463,140759.4,0.17303724938933915,0.6237145581729329
16,5,1,2,2,2,813463,143869.8,0.17686090209388747,0.630935039305826
17,5,2,2,2,2,813463,149448.1,0.1837183744067032,0.6378470792488204
