index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,2,2,662407,56095.6,0.08468449155881505,0.4491550220023404
1,0,1,1,2,2,662407,60523.3,0.09136875063216422,0.4588607257005493
2,0,2,1,2,2,662407,62967.3,0.09505832516866519,0.46958335739962137
3,1,0,1,2,2,662407,64236.3,0.09697406579338683,0.4807825569042567
4,1,1,1,2,2,662407,64578.3,0.09749036468515579,0.49219329289249225
5,1,2,1,2,2,662407,64722.3,0.09770775369221643,0.5029609454479755
6,2,0,1,2,2,662407,64805.5,0.09783335622962921,0.5136472446872155
7,2,1,1,2,2,662407,64853.1,0.09790521537362981,0.5240838888394243
8,2,2,1,2,2,662407,64881.0,0.09794733449374779,0.5341758250461343
9,3,0,1,2,2,662407,64896.0,0.09796997918198327,0.5439914619013724
10,3,1,1,2,2,662407,64911.1,0.097992774834807,0.5530593622652041
11,3,2,1,2,2,662407,64927.2,0.0980170801335131,0.5614222630072778
12,4,0,1,2,2,662407,64955.2,0.09805935021821932,0.5696136288786312
13,4,1,1,2,2,662407,65040.1,0.09818751915363212,0.5775267200960613
14,4,2,1,2,2,662407,65320.7,0.09861112578822387,0.5853279245498464
15,5,0,1,2,2,662407,66271.3,0.10004619516400037,0.5930353481311408
16,5,1,1,2,2,662407,69067.0,0.10426671215732926,0.6006067723436829
17,5,2,1,2,2,662407,75066.7,0.11332413455775678,0.6083943090434129
