index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,1,1,2,496964,23849.0,0.04798939158570842,0.42617217023536397
1,0,1,1,1,2,496964,27906.0,0.05615296077784306,0.4365411170360677
2,0,2,1,1,2,496964,29975.1,0.06031644143237739,0.4477785337477216
3,1,0,1,1,2,496964,31024.4,0.06242786197792999,0.45957074626819255
4,1,1,1,1,2,496964,31408.1,0.06319995009698891,0.4707868760137724
5,1,2,1,1,2,496964,31593.7,0.06357341779283812,0.48240175089769843
6,2,0,1,1,2,496964,31706.5,0.06380039600453956,0.49430930609001383
7,2,1,1,1,2,496964,31770.4,0.06392897674680662,0.5051707734726298
8,2,2,1,1,2,496964,31803.6,0.06399578239067619,0.515761007726779
9,3,0,1,1,2,496964,31825.0,0.06403884385991741,0.5264246847131367
10,3,1,1,1,2,496964,31841.7,0.06407244790367109,0.535745722491738
11,3,2,1,1,2,496964,31859.3,0.06410786294379472,0.5447075744806635
12,4,0,1,1,2,496964,31882.5,0.06415454640577588,0.553838232585213
13,4,1,1,1,2,496964,31939.4,0.06426904162072103,0.561980024050406
14,4,2,1,1,2,496964,32095.8,0.06458375254545601,0.570210926361568
15,5,0,1,1,2,496964,32612.9,0.06562427057090654,0.5786723087202132
16,5,1,1,1,2,496964,34089.8,0.06859611561400826,0.5863175657731775
17,5,2,1,1,2,496964,37377.8,0.07521228901892289,0.5943030326793797
