index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,3,1,321202,64810.4,0.20177458421803104,0.5110021092157118
1,0,1,2,3,1,321202,65861.5,0.20504697978219308,0.5182113404512887
2,0,2,2,3,1,321202,66492.5,0.20701147564460992,0.5271291711033824
3,1,0,2,3,1,321202,66875.0,0.2082023150540781,0.5366041304188844
4,1,1,2,3,1,321202,67018.2,0.20864814042253785,0.5481794008070627
5,1,2,2,3,1,321202,67084.8,0.20885548657853933,0.5594026441700034
6,2,0,2,3,1,321202,67121.9,0.20897099021799365,0.5702979674282662
7,2,1,2,3,1,321202,67147.4,0.2090503795119582,0.5827850117085052
8,2,2,2,3,1,321202,67164.3,0.20910299437736998,0.5915759534524148
9,3,0,2,3,1,321202,67173.3,0.20913101412818103,0.5989597298744158
10,3,1,2,3,1,321202,67183.4,0.20916245851520227,0.6070482621273873
11,3,2,2,3,1,321202,67197.3,0.20920573346367705,0.6136803412091207
12,4,0,2,3,1,321202,67221.0,0.20927951880747941,0.619312694239812
13,4,1,2,3,1,321202,67289.3,0.20949215758307854,0.6264336913294472
14,4,2,2,3,1,321202,67482.0,0.2100920915809989,0.6330027845495934
15,5,0,2,3,1,321202,67910.8,0.21142707704186145,0.6386283481876499
16,5,1,2,3,1,321202,68955.8,0.21468048144158502,0.6457379264893488
17,5,2,2,3,1,321202,70788.0,0.2203846800455788,0.6525114901246989
